numcode,country,num_articles2000,num_articles2001,num_articles2002,num_articles2003,num_articles2004,num_articles2005,num_articles2006,num_articles2007,num_articles2008,num_articles2009,num_articles2010,num_articles2011,num_articles2012,num_articles2013,num_articles2014
1,China,0,0,0,0,3,2,4,25,100,264,645,1487,2438,3397,483
2,USA,5,1,2,1,6,10,55,197,320,537,822,1100,1466,1546,140
3,South Korea,0,0,0,0,0,2,2,8,32,59,177,402,622,822,115
4,Japan,5,4,2,7,8,5,15,38,83,111,192,252,341,379,37
5,Germany,0,0,2,2,3,3,15,52,94,131,192,245,288,407,29
6,Singapore,0,0,0,0,0,0,2,6,27,54,142,234,308,324,37
7,UK,0,0,0,0,1,2,9,44,58,92,122,177,220,275,35
8,India,0,0,1,0,0,0,3,6,20,45,74,154,228,376,47
9,Spain,1,1,2,0,1,5,18,35,49,55,100,128,189,202,18
10,France,0,0,1,0,2,1,8,23,50,82,118,131,168,186,18
11,Russia,1,0,0,0,1,2,6,13,39,51,68,107,150,210,9
12,Italy,0,0,0,0,0,0,2,15,30,58,82,109,152,161,20
13,Taiwan,0,0,0,0,0,0,1,3,17,18,54,99,174,205,32
14,Australia,0,0,1,0,0,0,1,2,14,26,48,90,129,204,35
15,Canada,1,0,0,0,0,3,8,24,31,47,48,92,117,138,12
16,Iran,0,0,0,0,0,1,2,4,14,20,49,68,113,203,37
17,Netherlands,0,0,0,0,1,1,10,39,39,37,55,60,58,60,3
18,Switzerland,0,0,0,0,0,0,0,12,20,36,60,48,71,79,8
19,Sweden,0,0,0,0,0,0,0,5,9,16,38,62,90,97,3
20,Brazil,0,0,0,0,0,0,1,11,16,35,48,58,61,74,6
21,Belgium,1,0,0,0,0,0,3,8,19,21,43,38,53,72,10
22,Poland,0,0,0,0,0,1,4,8,8,21,20,36,56,64,1
23,Finland,0,0,0,1,1,0,0,1,11,20,16,34,40,45,6
24,Portugal,0,0,0,0,1,1,9,10,17,18,14,18,43,36,4
25,Ukraine,0,0,0,0,0,1,5,9,19,17,20,21,28,29,1
26,Malaysia,0,0,0,0,0,0,0,0,0,0,2,10,38,68,16
27,Ireland,0,0,0,0,0,0,0,1,5,9,18,29,30,35,5
28,Greece,0,0,0,0,0,0,0,3,3,10,17,11,35,42,10
29,Czech Republic,0,0,0,0,0,0,0,0,2,6,16,19,39,43,5
30,Denmark,0,0,0,0,2,0,0,1,2,5,12,21,39,42,6
31,Turkey,0,0,0,0,0,0,0,0,11,8,13,18,24,47,7
32,Saudi Arabia,0,0,0,0,0,0,0,0,0,1,5,11,49,52,5
33,Austria,0,0,0,0,0,0,0,0,3,7,5,21,35,29,7
34,Hungary,0,0,0,0,0,0,1,4,8,4,20,15,22,19,5
35,Romania,0,0,1,0,0,0,0,3,5,9,14,11,14,33,4
36,Mexico,0,0,0,0,0,0,1,1,3,12,6,14,13,32,2
37,Israel,0,0,0,0,0,0,0,6,7,9,7,16,15,17,3
38,Thailand,0,0,0,0,0,0,1,0,2,5,5,11,18,20,2
39,Argentina,0,0,0,0,0,0,0,3,3,4,9,13,11,16,1
40,Vietnam,0,0,0,0,0,0,0,0,2,5,8,9,14,19,2
41,Serbia,0,0,0,0,0,0,0,1,2,6,4,9,16,19,0
42,South Africa,0,0,0,0,0,0,0,0,0,2,4,6,16,21,4
43,Chile,0,0,0,0,0,0,0,0,3,6,4,11,11,14,1
44,Norway,0,0,0,0,0,0,2,2,4,8,6,4,4,9,1
45,Egypt,0,0,0,0,0,0,0,0,0,0,1,7,10,15,4
46,Pakistan,0,0,0,0,0,0,0,2,3,1,2,3,10,11,1
47,Croatia,0,0,0,0,0,0,0,1,0,2,2,4,9,12,0
48,Uruguay,0,0,0,0,0,0,0,0,0,4,4,5,5,6,0
49,Morocco,0,0,0,0,0,0,0,0,0,0,3,3,7,9,0
50,Slovenia,0,0,0,0,0,0,0,1,1,0,2,4,3,10,0
51,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,1,4,2,11,2
52,Slovakia,0,0,0,0,0,0,0,1,2,1,2,3,4,6,0
53,Lithuania,0,0,0,0,0,0,0,1,2,1,0,3,5,6,0
54,New Zealand,0,0,0,0,0,0,0,0,0,2,6,1,5,4,0
55,Bulgaria,0,0,0,0,0,0,0,0,0,1,1,1,4,8,0
56,Colombia,0,0,0,0,0,0,0,0,0,2,2,1,2,4,1
57,Bangladesh,0,0,0,0,0,0,0,0,0,2,0,1,1,7,0
58,Belarus,0,0,0,0,0,0,0,0,0,0,1,1,3,6,0
59,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0
60,Indonesia,0,0,0,0,0,0,0,0,0,0,1,1,1,6,1
61,Estonia,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2
62,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
63,Armenia,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0
64,Kazakhstan,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
65,Oman,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1
